question_no,question_type,question_text,options,answer,remote_ques_id,mcq_url,written_url,source_name,scraped_at
1,mcq,কেস ম্যানেজমেন্ট প্রক্রিয়ার মূল কাজ হলো- i. সাহায্যার্থীর সক্ষমতা বাড়ানো ii. বিদ্যমান ব্যবস্থায় সুযোগ সৃষ্টি করা iii. পরিবেশের সাথে খাপ খাইয়ে চলতে সাহায্য করা নিচের কোনটি সঠিক?,"{""options"": [{""index"": 1, ""text"": ""i ও ii"", ""images"": []}, {""index"": 2, ""text"": ""i ও iii"", ""images"": []}, {""index"": 3, ""text"": ""ii ও iii"", ""images"": []}, {""index"": 4, ""text"": ""i, ii ও iii"", ""images"": []}], ""images"": [], ""community_votes"": {}}",4,671001,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
2,mcq,সমাজকর্ম শিক্ষায় মাঠকর্মের বিভাগীয় তত্ত্বাবধায়ক কে?,"{""options"": [{""index"": 1, ""text"": ""বিভাগের সংশ্লিষ্ট শিক্ষক"", ""images"": []}, {""index"": 2, ""text"": ""শিক্ষা প্রতিষ্ঠানের প্রধান"", ""images"": []}, {""index"": 3, ""text"": ""বিভাগীয় প্রধান"", ""images"": []}, {""index"": 4, ""text"": ""মাঠকর্ম প্রতিষ্ঠানের প্রধান"", ""images"": []}], ""images"": [], ""community_votes"": {}}",1,671002,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
3,mcq,নিচের কোনটি সামাজিক সমস্যা?,"{""options"": [{""index"": 1, ""text"": ""ভূমিকম্প"", ""images"": []}, {""index"": 2, ""text"": ""এইডস"", ""images"": []}, {""index"": 3, ""text"": ""এইডস"", ""images"": []}, {""index"": 4, ""text"": ""ঘূর্ণিঝড়"", ""images"": []}], ""images"": [], ""community_votes"": {}}",2,671003,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
4,mcq,নিচের কোনটি সামাজিক সমস্যার বৈশিষ্ট্য?,"{""options"": [{""index"": 1, ""text"": ""সমাজ থেকে উদ্ভূত এবং অপরিমেয়"", ""images"": []}, {""index"": 2, ""text"": ""পরিবর্তনশীল এবং অসমাধানযোগ্য"", ""images"": []}, {""index"": 3, ""text"": ""মূল্যবোধ পরিপন্থি ও ইতিবাচক প্রভাব"", ""images"": []}, {""index"": 4, ""text"": ""সমাজের জন্য ক্ষতিকর এবং পরিত্রাণ প্রত্যাশা"", ""images"": []}], ""images"": [], ""community_votes"": {}}",4,671004,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
5,mcq,কোন সালে যৌতুক নিরোধ আইন পাশ হয়?,"{""options"": [{""index"": 1, ""text"": ""১৯৬১"", ""images"": []}, {""index"": 2, ""text"": ""১৯৭৪"", ""images"": []}, {""index"": 3, ""text"": ""১৯৮০"", ""images"": []}, {""index"": 4, ""text"": ""১৯৮৩"", ""images"": []}], ""images"": [], ""community_votes"": {}}",3,671005,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
6,mcq,গ্রামীণ ব্যাংকের প্রতিষ্ঠাতা কে?,"{""options"": [{""index"": 1, ""text"": ""ড. মুহাম্মদ ইউনূস"", ""images"": []}, {""index"": 2, ""text"": ""স্যার ফজলে হাসান আবেদ"", ""images"": []}, {""index"": 3, ""text"": ""ড. আক্তার হামিদ খান"", ""images"": []}, {""index"": 4, ""text"": ""ডা. একেএম আবদুল ওয়াহেদ"", ""images"": []}], ""images"": [], ""community_votes"": {}}",1,671006,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
7,mcq,উদ্দীপক লোগোটি কোন আন্তর্জাতিক সংস্থার প্রতিনিধিত্ব করে?,"{""options"": [{""index"": 1, ""text"": ""রেড ক্রিসেন্ট সোসাইটি"", ""images"": []}, {""index"": 2, ""text"": ""ইউনিসেফ"", ""images"": []}, {""index"": 3, ""text"": ""ওয়ার্ল্ড ভিশন"", ""images"": []}, {""index"": 4, ""text"": ""সেভ দ্য চিলড্রেন"", ""images"": []}], ""images"": [""https://sattacademy.com/uploads/ckeditor/1786189656.png""], ""community_votes"": {}}",4,671007,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
8,mcq,UNDP এর সদর দপ্তর কোথায়?,"{""options"": [{""index"": 1, ""text"": ""জেনেভা"", ""images"": []}, {""index"": 2, ""text"": ""ওয়াশিংটন"", ""images"": []}, {""index"": 3, ""text"": ""রোম"", ""images"": []}, {""index"": 4, ""text"": ""নিউইয়র্ক"", ""images"": []}], ""images"": [], ""community_votes"": {}}",4,671008,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
9,mcq,অপুষ্টি মূলত কোন মৌলিক মানবিক চাহিদার অপূরণজনিত সমস্যা?,"{""options"": [{""index"": 1, ""text"": ""খাদ্য"", ""images"": []}, {""index"": 2, ""text"": ""চিকিৎসা"", ""images"": []}, {""index"": 3, ""text"": ""শিক্ষা"", ""images"": []}, {""index"": 4, ""text"": ""বিনোদন"", ""images"": []}], ""images"": [], ""community_votes"": {}}",1,671009,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
10,mcq,উদ্দীপক কাঠামো কোন সামাজিক প্রতিষ্ঠানকে প্রকাশ করে?,"{""options"": [{""index"": 1, ""text"": ""সংস্থা"", ""images"": []}, {""index"": 2, ""text"": ""প্রযুক্তি"", ""images"": []}, {""index"": 3, ""text"": ""গণমাধ্যম"", ""images"": []}, {""index"": 4, ""text"": ""পুলিশ"", ""images"": []}], ""images"": [""https://sattacademy.com/uploads/ckeditor/1786190147.png""], ""community_votes"": {}}",3,671010,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:13+00:00
